10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,968.00,970.00,970.00,970.00,25.00
8.5% Nepal Investment Bank Debenture 2084,848.20,850.10,850.00,850.00,75.00
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,940.00,952.00,921.20,932.00,624.00
Agricultural Development Bank Limited,371.00,378.00,367.10,369.00,26491.00
Ajod Insurance Limited,650.00,649.70,637.00,638.00,1295.00
Ankhu Khola Jalvidhyut Company Ltd,242.00,248.00,238.00,239.00,36966.00
Api Power Company Ltd.,305.80,310.00,298.90,300.00,90958.00
Arun Kabeli Power Ltd.,427.00,435.50,418.80,419.10,46800.00
Arun Valley Hydropower Development Co. Ltd.,422.00,431.90,416.90,417.20,111687.00
Asha Laghubitta Bittiya Sanstha Ltd,1375.00,1402.00,1335.00,1342.00,1375.00
Asian Life Insurance Co. Limited,824.70,829.00,795.00,795.00,13692.00
Bank of Kathmandu Ltd.,243.60,247.10,242.00,243.00,15997.00
Barun Hydropower Co. Ltd.,410.00,418.10,398.00,398.00,9083.00
Best Finance Company Ltd.,420.00,428.00,410.00,410.00,12382.00
Bishal Bazar Company Limited,4076.10,4080.00,4077.00,4077.00,30.00
Bottlers Nepal (Terai) Limited,14379.90,14434.00,14151.00,14225.00,140.00
Buddha Bhumi Nepal Hydropower Company Limited,493.60,510.00,484.50,498.00,3300.00
Butwal Power Company Limited,379.00,380.00,375.00,376.50,5862.00
CEDB Hydropower Development Company Limited,800.00,810.00,771.10,775.00,12624.00
Central Finance Co. Ltd.,357.00,364.10,340.00,344.00,12502.00
Century Commercial Bank Ltd.,217.40,218.80,214.00,216.00,33215.00
Chandragiri Hills Limited,1340.00,1339.80,1295.00,1338.90,3318.00
Chhimek Laghubitta Bittiya Sanstha Limited,1059.00,1075.00,1052.00,1058.00,10408.00
Chhyangdi Hydropower Ltd.,359.00,365.00,346.00,352.00,14636.00
Chilime Hydropower Company Limited,456.90,460.00,445.00,448.00,14188.00
Citizen Bank International Limited,254.00,259.00,251.10,252.20,12082.00
Citizen Investment Trust,2865.00,2900.00,2840.00,2854.00,5611.00
Citizens Mutual Fund -1,8.91,9.15,9.00,9.10,15301.00
CITIZENS MUTUAL FUND 2,9.81,10.00,10.00,10.00,500.00
Civil Bank Ltd,217.80,223.90,217.00,220.00,48827.00
Civil Laghubitta Bittiya Sanstha Ltd.,888.90,900.00,855.00,856.50,1975.00
Corporate Development Bank Limited,480.00,496.90,475.00,476.00,1820.00
Deprosc Laghubitta Bittiya Sanstha Limited,1090.00,1111.00,1078.00,1078.00,2842.00
Dibyashwori Hydropower Ltd.,259.00,265.00,255.00,256.00,9172.00
Emerging Nepal Limited,838.00,835.00,807.00,830.00,3905.00
Everest Bank Limited,507.80,517.90,505.00,507.00,5724.00
Everest Insurance Co. Ltd.,545.00,555.00,525.30,541.00,6891.00
Everest Insurance Co. Ltd. Promoter Share,388.30,394.90,381.00,394.90,838.00
Excel Development Bank Ltd.,418.00,424.90,410.00,412.00,5364.00
First Micro Finance Laghubitta Bittiya Sanstha Limited,728.00,740.00,710.00,710.00,10011.00
Forward Microfinance Laghubitta Bittiya Sanstha Limited,2258.00,2280.00,2240.00,2255.00,1720.00
Ganapati Laghubitta Bittiya Sanstha Limited,1123.00,1123.00,1059.50,1080.00,2325.00
Garima Bikas Bank Limited,430.60,435.00,421.00,425.00,22946.00
General Insurance Company Nepal Ltd,546.00,546.00,536.10,539.30,2211.00
Ghalemdi Hydro Limited,252.00,258.90,241.00,246.10,21417.00
Global IME Bank Limited,300.00,306.00,300.00,300.10,30035.00
Global IME Laghubitta Bittiya Sanstha Ltd.,1403.10,1425.00,1404.00,1414.00,670.00
Global IME Samunnat Scheme-1,11.10,11.43,11.11,11.34,188020.00
Goodwill Finance Limited,500.00,510.00,491.00,493.00,6742.00
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,845.00,855.00,841.00,845.10,2250.00
Green Development Bank Ltd.,296.00,301.90,285.00,288.00,5223.00
Green Ventures Limited,385.00,392.00,376.60,377.40,17660.00
GreenLife Hydropower Limited,410.50,420.00,397.10,408.00,4560.00
Guheshowori Merchant Bank & Finance Co. Ltd.,352.00,357.00,336.20,338.00,11655.00
Gurans Laghubitta Bittiya Sanstha Limited,1210.00,1190.10,1163.00,1175.00,106.00
Gurans Life Insurance Company Ltd.,555.00,563.90,534.20,541.00,11777.00
Gurkhas Finance Ltd.,464.00,473.20,450.00,450.00,16859.00
Himal Dolakha Hydropower Company Limited,241.70,249.90,239.00,240.00,38201.00
Himalaya Urja Bikas Company Limited,326.00,331.00,317.00,317.00,12128.00
Himalayan Distillery Limited,3570.00,3625.00,3544.00,3546.00,14099.00
Himalayan General Insurance Co. Ltd,579.00,599.80,568.10,576.00,1432.00
Himalayan Power Partner Ltd.,420.60,437.50,408.00,412.00,6518.00
Hydorelectricity Investment and Development Company Ltd,257.00,262.00,252.00,253.00,70526.00
ICFC Finance Limited,506.00,510.10,493.00,498.00,19205.00
IME General Insurance Ltd.,537.90,556.00,532.00,544.00,96674.00
Infinity Laghubitta Bittiya Sanstha Limited,1091.00,1112.80,1070.10,1080.10,1706.00
Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,1038.80,1142.60,1038.70,1142.60,200.00
Janaki Finance Ltd.,427.00,434.00,412.10,412.10,6573.00
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,2181.00,2150.00,2095.20,2139.00,796.00
Jeevan Bikas Laghubitta Bittya Sanstha Ltd,2990.00,3000.00,2951.30,2979.00,3935.00
Joshi Hydropower Development Company Ltd,244.00,245.00,235.70,237.00,16869.00
Jyoti Bikas Bank Limited,377.00,382.00,366.60,366.60,34882.00
Jyoti Life Insurance Company Limited,553.10,560.00,540.10,543.00,6151.00
Kalika Laghubitta Bittiya Sanstha Ltd,1264.90,1275.00,1245.00,1245.00,1085.00
Kalika power Company Ltd,444.00,444.00,427.10,435.10,5294.00
Kamana Sewa Bikas Bank Limited,445.00,451.00,432.00,432.30,23973.00
Karnali Development Bank Limited,330.90,334.00,321.00,321.00,3670.00
Khanikhola Hydropower Co. Ltd.,255.00,260.00,247.00,250.00,11501.00
Kisan Lagubitta Bittiya Sanstha Limited,1391.00,1444.00,1340.00,1340.00,249.00
Kumari Bank Limited,220.00,224.40,220.00,221.00,26664.00
Kumari Equity Fund,9.25,9.20,9.10,9.11,5760.00
Laxmi Bank Limited,240.00,244.80,237.20,237.20,9313.00
Laxmi Equity Fund,10.79,10.75,10.61,10.61,51000.00
Laxmi Laghubitta Bittiya Sanstha Ltd.,1344.00,1344.00,1291.00,1331.00,489.00
Laxmi Unnati Kosh,10.20,10.20,10.11,10.17,20668.00
Liberty Energy Company Limited,326.00,331.00,317.00,329.00,5169.00
Life Insurance Corporation (Nepal) Limited,1839.20,1875.00,1802.00,1840.00,9073.00
Lumbini Bikas Bank Ltd.,443.00,451.60,431.30,436.80,39334.00
Lumbini General Insurance Co. Ltd.,654.90,666.00,647.00,656.00,3504.00
Machhapuchhre Bank Limited,280.00,283.00,277.00,279.00,32157.00
Madhya Bhotekoshi Jalavidyut Company Limited,302.90,305.00,297.00,297.00,17856.00
Mahalaxmi Bikas Bank Ltd.,423.00,429.60,416.00,416.20,73549.00
Mahila Lagubitta Bittiya Sanstha Limited,3515.00,3540.00,3480.00,3515.00,514.00
Mahuli Laghubitta Bittiya Sanstha Limited,1340.00,1322.00,1290.00,1290.00,301.00
Mailung Khola Jal Vidhyut Company Limited,529.80,540.20,506.00,529.00,4477.00
Manakamana Smart Laghubitta Bittiya Sanstha Limited,1130.00,1121.00,1091.00,1121.00,245.00
Manjushree Finance Ltd.,491.50,500.00,488.00,488.20,15307.00
Manushi Laghubitta Bittiya Sanstha Limited,1182.00,1229.10,1187.00,1216.00,540.00
Mega Bank Nepal Ltd.,236.20,239.00,235.00,235.00,27074.00
Mega Mutual Fund -1,8.50,8.67,8.40,8.50,7663.00
Mero Microfinance Bittiya Sanstha Ltd.,976.00,994.00,967.00,967.00,4112.00
Mirmire Microfinance Development Bank Ltd.,1198.00,1221.00,1176.00,1176.00,2721.00
Miteri Development Bank Limited,450.00,455.00,438.30,447.00,7071.00
Mithila LaghuBitta Bittiya Sanstha Limited,1485.00,1484.40,1431.00,1431.00,665.00
Mountain Energy Nepal Limited,997.20,1030.00,981.00,1030.00,1915.00
Mountain Hydro Nepal Limited,361.00,375.00,346.00,353.00,5917.00
Muktinath Bikas Bank Ltd.,485.00,494.70,480.00,480.10,15546.00
Multipurpose Finance Company Limited,348.90,352.00,338.10,343.90,6073.00
NABIL BALANCED FUND-2,10.59,10.60,10.40,10.50,96300.00
Nabil Balanced Fund-3,8.91,9.20,8.79,9.20,11120.00
Nabil Bank Limited,934.90,947.00,927.00,928.00,43224.00
Nabil Equity Fund,11.00,11.22,10.78,11.10,136195.00
Narayani Development Bank Limited,382.00,392.00,381.00,383.00,5251.00
National Hydro Power Company Limited,269.00,273.50,260.00,261.10,62254.00
National Life Insurance Co. Ltd.,752.00,767.00,740.00,740.00,4580.00
National Microfinance Laghubitta Bittiya Sanstha Limited,2101.00,2139.00,2090.00,2095.00,1526.00
Naya Sarathi Laghubitta Bittiya Sanstha Limited,982.00,982.00,960.00,977.00,492.00
Neco Insurance Co. Ltd.,875.00,892.00,870.20,875.00,3145.00
Nepal Bank Limited,318.00,322.00,315.00,315.50,53053.00
Nepal Credit And Commercial Bank Limited,231.00,234.00,227.10,231.00,216227.00
Nepal Doorsanchar Company Limited,1049.00,1054.00,1020.00,1030.00,11410.00
Nepal Finance Ltd.,501.00,527.00,507.00,510.00,58933.00
Nepal Hydro Developers Ltd.,426.00,439.00,419.00,420.50,14156.00
Nepal Infrastructure Bank Limited,307.00,312.00,301.00,301.60,114023.00
Nepal Insurance Co. Ltd.,724.00,732.00,705.00,706.00,5775.00
Nepal Life Insurance Co. Ltd.,938.10,950.00,933.80,934.00,22681.00
Nepal Reinsurance Company Limited,999.00,1013.00,989.00,990.00,12673.00
Nepal SBI Bank Limited,335.00,339.00,330.00,335.00,5468.00
Nerude Laghubitta Bittiya Sanstha Limited,990.00,1009.00,985.00,985.00,2343.00
NESDO Sambridha Laghubitta Bittiya Sanstha Limited,2667.10,2710.00,2650.00,2655.00,10171.00
Ngadi Group Power Ltd.,585.00,603.00,585.00,590.00,60599.00
NIBL Pragati Fund,11.27,11.74,11.27,11.40,180879.00
